,Tot_Mftr,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spnd_Per_Dsg_Unt_Wghtd_2024,Avg_Spnd_Per_Clm_2024,Avg_Spnd_Per_Bene_2024,Outlier_Flag_2024,Chg_Avg_Spnd_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24
count,14536.0,10303.0,10303.0,10303.0,10222.0,10303.0,10303.0,10091.0,10300.0,11198.0,11198.0,11198.0,11002.0,11198.0,11198.0,10935.0,11195.0,12122.0,12122.0,12122.0,11831.0,12122.0,12122.0,11798.0,12114.0,13246.0,13246.0,13246.0,12833.0,13246.0,13246.0,12827.0,13241.0,14536.0,14536.0,14536.0,13754.0,14536.0,14536.0,13754.0,14518.0,13246.0,13376.0
mean,1.5012383048981839,37676800.60936426,21513110.41753266,282329.83888187906,87283.77900606535,196.9549595094413,1728.3696356136238,9014.755979134916,0.07640776699029127,38134193.49186194,20252564.67745419,264916.63314877654,84357.33657516816,205.2169818395705,1822.8125718239842,9501.390260653658,0.08280482358195623,39560999.12382363,19704073.857979212,253953.33014354066,82893.55253148508,284.5649671109764,2070.976479762591,10203.05749479272,0.09295030543173188,41644106.71186698,18822357.309890606,244102.1538577684,83032.10870412219,297.56705281071754,2190.4963052249473,10494.953453387694,0.09999244770032475,39717644.75211957,18053427.445340537,235505.91840946616,81344.47353497165,341.3495141933698,2275.7688740845897,10720.507912724526,0.13417826146852183,-0.07117801065583573,-0.04713623419932331
std,2.4490680846002117,236852670.7832164,125297400.53788653,1530690.8014653092,409932.8453998134,1610.2239073849896,7620.311142798852,51125.725260329076,0.2656623274356566,269745836.0870538,124054772.41924742,1506932.0790113872,409741.63238456135,1656.0671685883117,7749.831994105728,53175.32702881692,0.275599291537762,307186108.02957064,127174475.15493958,1500710.7777515685,417511.4042276779,3775.1307932672107,9514.598573896847,54431.4407464832,0.2903747690271395,357569656.05825377,130968763.74430448,1508939.3567682765,431306.1479298826,3513.4655559070634,9912.15411061841,53326.67465723642,0.30000125871397193,393657608.6709612,130458977.09424993,1526969.1797307401,438345.11362396844,3829.497547006326,10665.30089251487,53826.52148783085,0.34085548003048544,3.5753607049229443,0.27316930437726017
min,1.0,65.93,12.5,11.0,11.0,0.0002146034,0.0355552593,0.0185653804,0.0,26.43,10.5,11.0,11.0,0.0002161004,0.0359655695,0.0994526942,0.0,33.06,9.0,11.0,11.0,0.0032789784,1.092565445,0.3765522906,0.0,39.46,3.5,11.0,11.0,0.003701033,1.1017535545,0.9514588235,0.0,3.91,1.8,11.0,11.0,0.0037973407,0.2792857143,1.4965217391,0.0,-0.975454796,-0.969352539
25%,1.0,111140.565,28937.73,664.0,268.0,0.48359805435000003,29.661225931,75.185172377,0.0,98189.19750000001,25876.0,555.25,237.0,0.48082046437500003,30.75319976625,76.5572965665,0.0,92704.85,22407.1875,500.0,206.0,0.4939949169,31.26136409425,77.64269361675,0.0,70846.1825,17312.0,400.25,183.0,0.488917892,30.79028064,73.02824140300001,0.0,36932.4625,10556.45,253.0,141.0,0.394163605175,24.68504333425,56.55821040175,0.0,-0.27878496599999997,-0.1209486845
50%,1.0,1510063.92,350723.909,6675.0,2340.0,1.981697127,106.12144444,271.10534929,0.0,1366713.8399999999,300820.7025,5703.0,2088.0,2.0047177978999997,109.34681818,276.28722819,0.0,1255653.48,260545.543,5029.5,1920.0,2.1786385255,114.15287509999999,285.962004165,0.0,1017120.93,209366.0,3880.5,1574.0,2.19431512435,114.63362409999999,279.19236767,0.0,673478.2350000001,145043.25,2931.5,1293.0,1.7874278607,95.240961538,234.59662879,0.0,-0.1276744455,-0.041959444
75%,1.0,10397186.895,3941559.0,66827.0,23445.75,13.395534534,543.53587515,1700.6749716,0.0,9380716.07,3458569.12425,58068.25,20593.5,14.234749455,584.59472007,1845.96590315,0.0,8952850.08,2972871.75,51781.75,18922.0,14.89487304775,610.5329786550001,1955.07752675,0.0,8088436.18,2528386.49925,44871.25,16594.0,16.6323759935,640.80570575,1924.9810541000002,0.0,5862204.72,2089273.75,37507.0,15049.25,15.24927883175,576.952120185,1619.268134025,0.0,-0.031188135,0.017675794525
max,46.0,9936069813.8,4084427497.3,55260381.0,13875265.0,41142.933606,205901.47246,1401870.2309,1.0,12575145852.0,4324341160.4,60816782.0,14955893.0,42825.007606,195601.83492,1561518.8458,1.0,15219812294.0,4640300972.9,64551806.0,15885735.0,233364.03429,316497.18978,1595175.5456,1.0,18273451967.0,4954122738.5,68445600.0,16778185.0,239745.72701,347007.60481,1441038.9712,1.0,20774929225.0,5316666193.5,73349032.0,17830813.0,236450.7498,407851.19684,1488217.3661,1.0,321.61641565,12.50000604
